question_id,question,config_name,answerable,retrieved_doc_ids,retrieval_recall,answer,reference_answer,answer_correctness,has_hallucination,abstention_score,retrieval_latency_ms,generation_latency_ms,total_latency_ms
q_000,How many trajectories were collected during the extensive quantitative analysis and large-scale real-world experiments conducted in this research?,exp3_index_ivf_aggressive,True,2601.17310v1|2601.15170v1|2601.00928v1|2511.14945v2,0.0,"The research conducted in the paper titled ""Analyzing the Shopping Journey: Computing Shelf Browsing Visits in a Physical Retail Store"" involved the collection of two distinct sets of trajectories for calibration of the shelf visit algorithm. Specifically, the first set consisted of 8,138 trajectories, and the second set comprised 15,129 trajectories. Therefore, the total number of trajectories collected during this extensive quantitative analysis is 8,138 + 15,129 = 23,267 trajectories.

No other papers provided additional quantitative analysis or trajectory counts related to large-scale real-world experiments, so the information is limited to the details from Paper 3.","The research collected datasets of 18,000 trajectories during the extensive quantitative analysis and large-scale real-world experiments.",1.0,False,0.0,71.51007652282715,3327.286958694458,3398.887872695923
q_001,What are the benchmarks on which REMUL demonstrated improvements in faithfulness and accuracy?,exp3_index_ivf_aggressive,True,2602.17053v2|2601.02970v1|2601.17399v1,0.0,"The papers provided do not mention a system or method called ""REMUL,"" nor do they provide specific benchmarks on which it demonstrated improvements in faithfulness and accuracy. 

However, Paper 1 introduces RFEval, a benchmark designed to evaluate reasoning faithfulness in Large Reasoning Models (LRMs) through controlled, output-level counterfactual interventions. It assesses faithfulness based on two conditions: stance consistency and causal influence, and it evaluates twelve open-source LRMs across 7,186 instances across seven tasks. The findings indicate that 49.7% of outputs were unfaithful, primarily due to stance inconsistency.

If you are referring to a different system or method (like REMUL), please provide more context or clarify, as the current papers do not contain relevant information about it.","REMUL demonstrated improvements on multiple reasoning benchmarks, including BIG-Bench Extra Hard, MuSR, ZebraLogicBench, and FOLIO, showing consistent and substantial enhancements in faithfulness measures and accuracy.",0.0,True,0.0,70.17683982849121,3286.3080501556396,3356.550931930542
q_002,What are the emerging trends in explainability for AI systems as of 2024?,exp3_index_ivf_aggressive,False,2512.02280v1|2512.18567v1|2512.16344v1|2602.14783v1|2602.12018v1,0.0,"The provided papers do not specifically address emerging trends in explainability for AI systems as of 2024. While some papers touch on related themes, such as the need for interpretability and governance in autonomous systems (Paper 1), they do not provide a comprehensive overview of explainability trends.

For instance, Paper 1 discusses the importance of reformative oversight mechanisms to ensure that autonomous systems remain interpretable and aligned with human values, which implies a need for explainability but does not detail specific trends or methodologies in this area. Similarly, Paper 2 highlights the security implications of AI-generated code but does not delve into explainability.

To fully answer the question regarding emerging trends in explainability for AI systems, additional information or papers specifically focused on explainability methodologies, frameworks, or advancements would be required.",I don't have enough information in the provided documents to answer this question.,2.0,False,1.0,79.90598678588867,3047.9562282562256,3127.887010574341
q_003,What is the observed effect of increasing recommender adoption on individual consumption according to the findings?,exp3_index_ivf_aggressive,True,2602.16476v1|2601.02412v1|2602.16315v1|2601.16882v2|2512.17733v1,1.0,"According to the findings presented in Paper 3, titled ""The Diversity Paradox revisited: Systemic Effects of Feedback Loops in Recommender Systems,"" increasing recommender adoption may lead to a progressive diversification of individual consumption. However, the paper also highlights that this apparent increase in individual diversity is illusory; when adoption is fixed and time unfolds, individual diversity consistently decreases across all models. This suggests that while initial adoption of recommender systems might seem to enhance diversity in consumption patterns, over time, the feedback loops created by user behavior and algorithmic recommendations can lead to a reduction in true individual diversity. Thus, the systemic effects of feedback loops in recommender systems complicate the relationship between adoption and consumption diversity.","Increasing recommender adoption may lead to a progressive diversification of individual consumption; however, collective demand is redistributed in a way that often amplifies popularity concentration.",1.0,False,0.0,52.14881896972656,4335.705757141113,4387.887239456177
q_004,How many patients are included in the Omni-iEEG dataset?,exp3_index_ivf_aggressive,True,2601.16759v1|2510.26974v1|2512.21472v1|2511.19889v1,0.0,"The provided papers do not mention an ""Omni-iEEG dataset"" or provide any information regarding the number of patients included in such a dataset. The papers focus on various medical imaging datasets, including ERCP images, skin lesion segmentation, and liver imaging, but none of them reference the Omni-iEEG dataset or its patient count. Therefore, the information is missing.","The Omni-iEEG dataset includes a total of 302 patients. This large-scale resource is designed to aid in epilepsy research, particularly for those suffering from drug-resistant seizures.",0.0,True,0.0,66.60914421081543,2253.098964691162,2319.7498321533203
q_005,What tasks are formalized as sequential decision-making problems in this study?,exp3_index_ivf_aggressive,True,2601.04911v2|2512.17412v1|2601.21358v2|2510.01833v1,0.0,"The papers provided do not explicitly formalize specific tasks as sequential decision-making problems. However, they do discuss concepts related to planning and reasoning that can be associated with sequential decision-making.

1. **Behaviour Planning** (Paper 1) introduces a diverse planning approach that can be applied to various domains, including storytelling, urban planning, and game evaluation. While these applications involve decision-making processes, the paper does not explicitly frame them as sequential decision-making problems.

2. **Aircraft Maintenance Scheduling** (Paper 2) presents a problem that involves assigning qualified staff to maintenance tasks within a turnaround window. This can be viewed as a sequential decision-making problem, as it requires planning the sequence of tasks to ensure timely completion. However, the paper does not explicitly label it as such.

3. **PLaT Framework** (Paper 3) discusses reasoning as a deterministic trajectory of latent planning states, which implies a sequential nature in the reasoning process. The framework decouples reasoning from verbalization, allowing for dynamic decision-making, but it does not formalize specific tasks as sequential decision-making problems.

4. **Plan-Then-Action Framework** (Paper 5) explicitly addresses the limitations of local decision-making in LLMs and proposes a two-stage framework that enhances high-level planning and fine-grained reasoning. This framework inherently involves sequential decision-making, as it aims to improve the reasoning process through structured planning.

In summary, while some papers imply sequential decision-making through their discussions of planning and reasoning, none of the papers explicitly formalize specific tasks as sequential decision-making problems. The information regarding formalization is missing from the provided content.","The study formalizes multiple tasks, including information retrieval and coding, as sequential decision-making problems under uncertainty. These tasks involve reasoning about latent environment states via a prior passed to the LLM agent.",1.0,True,0.0,71.20585441589355,7474.023103713989,7545.2752113342285
q_006,What is the primary contribution of GPEReg-Net in the context of photoacoustic microscopy registration?,exp3_index_ivf_aggressive,True,2512.24066v1|2601.01285v1|2602.13304v1,0.0,"The papers provided do not mention a framework called GPEReg-Net; instead, they discuss a framework named PCReg-Net (Progressive Contrast Registration Network) for high-fidelity bidirectional photoacoustic microscopy alignment. 

The primary contribution of PCReg-Net is its progressive contrast-guided registration framework, which addresses the challenges of coupled domain shift and geometric misalignment introduced by bidirectional raster scanning in optical-resolution photoacoustic microscopy (OR-PAM). PCReg-Net achieves this through a coarse-to-fine alignment process that includes four lightweight modules: 

1. A registration U-Net for coarse alignment.
2. A reference feature extractor that captures multi-scale structural cues.
3. A contrast module that identifies residual misalignment by comparing coarse-registered and reference features.
4. A refinement U-Net with feature injection for high-fidelity output.

Additionally, PCReg-Net introduces the Temporal NCC (TNCC) and Temporal NCC Gap (TNCG) for reference-free evaluation of inter-frame temporal consistency. The framework demonstrates significant improvements in alignment quality, achieving a Normalized Cross-Correlation (NCC) of 0.983, surpassing state-of-the-art methods by over 14 dB.

If you are looking for information specifically about GPEReg-Net, it is not available in the provided papers, and further context or references would be needed to address that question.","GPEReg-Net is a scene-appearance disentanglement framework that separates domain-invariant scene features from domain-specific appearance codes using Adaptive Instance Normalization (AdaIN), allowing for direct image-to-image registration without the need for explicit deformation field estimation.",0.0,True,0.0,72.03292846679688,4587.0630741119385,4659.1339111328125
q_007,"How many agentic models were evaluated in the study, and what was the outcome regarding recent capability gains?",exp3_index_ivf_aggressive,True,2601.09032v1|2602.10163v1|2601.02749v1|2602.04813v1|2512.14860v1,0.0,"In the study described in Paper 2, six agentic frameworks were evaluated against 15 task classes related to drug discovery. The outcome revealed five capability gaps, indicating that while there have been recent capability gains in autonomous synthesis planning and molecular design, significant limitations remain. Specifically, the study highlighted issues such as the lack of support for protein language models, reliance on large-pharma resources, and single-objective optimization that does not account for safety-efficacy-stability trade-offs. Additionally, a paired knowledge-probing experiment suggested that the bottleneck in performance is architectural rather than epistemic, as four frontier LLMs could reason about peptides comparably to small molecules, yet no framework effectively exposed this capability.

Thus, while there are advancements in agentic models, the evaluation indicates that these models still face substantial challenges in generalization and practical application in drug discovery contexts.",The study evaluated 14 agentic models. The findings indicated that recent capability gains have only led to small improvements in reliability.,0.0,False,0.0,48.74277114868164,3343.369960784912,3392.1470642089844
q_008,What key limitations of Multimodal Large Language Models (MLLMs) does the research highlight in multi-turn settings?,exp3_index_ivf_aggressive,True,2511.03328v1|2601.16218v1|2601.22060v1,0.0,"The research highlights several key limitations of Multimodal Large Language Models (MLLMs) in multi-turn settings, particularly in the context of the Vision-DeepResearch framework discussed in Papers 4 and 5. 

1. **Naive Multimodal Search Assumptions**: Existing approaches often assume that a single full-level or entity-level image query, along with a few text queries, is sufficient to retrieve the necessary evidence to answer complex questions. This assumption is deemed unrealistic in real-world scenarios where substantial visual noise is present (Papers 4 and 5).

2. **Limited Reasoning Depth and Search Breadth**: Current MLLMs are constrained in their ability to perform deep reasoning and extensive searches. This limitation makes it challenging to solve complex questions that require aggregating evidence from diverse visual and textual sources (Papers 4 and 5).

3. **Internal Knowledge Capacity**: MLLMs are often limited by the capacity of their internal world knowledge, which can hinder their performance on tasks that require extensive factual information (Papers 4 and 5).

4. **Performance in Complex Tasks**: The research indicates that while MLLMs have shown success in various vision tasks, their performance remains suboptimal in complex scenarios that necessitate multi-turn interactions and deeper reasoning capabilities (Papers 4 and 5).

These limitations underscore the need for more advanced methodologies, such as the proposed Vision-DeepResearch paradigm, which aims to enhance MLLMs' capabilities through multi-turn, multi-entity, and multi-scale visual and textual searches, thereby improving their performance in real-world applications. 

Overall, the papers emphasize the necessity for improved reasoning processes and the integration of more robust search strategies to address the challenges faced by MLLMs in multi-turn settings.","The research highlights substantial degradation in multi-turn settings due to error accumulation and breakdowns in shared context. While MLLMs perform well on stylistic edits, they frequently experience execution failures on data-centric transformations.",1.0,False,0.0,70.71590423583984,6805.54986000061,6876.29508972168
q_009,What are the two techniques discussed in the abstract that are linked to stronger reasoning in models?,exp3_index_ivf_aggressive,True,2601.10825v1|2601.10679v1|2512.04923v1|2510.13935v2|2601.05560v1,0.0,"The two techniques linked to stronger reasoning in models, as discussed in the provided papers, are:

1. **Multi-Agent-Like Interactions**: In Paper 1, titled ""Reasoning Models Generate Societies of Thought,"" it is highlighted that enhanced reasoning capabilities emerge not just from extended computation but from simulating multi-agent-like interactions. This approach allows for diversification and debate among internal cognitive perspectives, characterized by distinct personality traits and domain expertise. This ""society of thought"" structure facilitates a broader exploration of solution spaces and improves reasoning accuracy through mechanisms such as conversational behaviors and the reconciliation of conflicting views.

2. **Instruction Retrieval**: In Paper 4, titled ""Big Reasoning with Small Models: Instruction Retrieval at Inference Time,"" the authors propose an inference-time intervention called instruction retrieval. This technique augments small language models (SLMs) with structured, reusable reasoning procedures rather than relying solely on unstructured information. By retrieving relevant instructions that pair domain background with explicit step-by-step procedures, SLMs can improve their reasoning performance significantly across various domains.

These techniques illustrate different approaches to enhancing reasoning capabilities in models, focusing on social interaction dynamics and structured guidance, respectively.","The two techniques discussed are looping, which reuses a block of layers across depth, and depth growing, which involves training shallow-to-deep models by duplicating middle layers. Both techniques exhibit convergent depth-wise signatures that support their connection to iterative computation.",0.0,False,0.0,44.0678596496582,5218.388795852661,5262.50433921814
